कालस्कन्ध,P,2.4.38
शितिसारक,P,2.4.38
काकेन्दु,P,2.4.39
कुलक,P,2.4.39
काकतिन्दुक,P,2.4.39
काकपीलुक,P,2.4.39
गोलीढ,P,2.4.39
झाटल,P,2.4.39
घण्टापाटलि,PS,2.4.39
मोक्ष,P,2.4.39
मुष्कक,P,2.4.39
तिलक,P,2.4.40
क्षुरक,P,2.4.40
श्रीमत्,P,2.4.40
पिचुल,P,2.4.40
झावुक,P,2.4.40
श्रीपर्णिका,S,2.4.40
कुमुदिका,S,2.4.40
कुम्भी,S,2.4.40
कैटर्य,P,2.4.40
कट्फल,P,2.4.40
क्रमुक,P,2.4.41
पट्टिकाख्य,P,2.4.41
पट्टी,S,2.4.41
लाक्षाप्रसादन,P,2.4.41
नूद,P,2.4.41
यूप,P,2.4.41
क्रमुक,P,2.4.41
ब्रह्मण्य,P,2.4.41
ब्रह्मदारु,N,2.4.41
तूल,N,2.4.42
नीप,P,2.4.42
प्रियक,P,2.4.42
कदम्ब,P,2.4.42
हलिप्रिय,P,2.4.42
वीरवृक्ष,P,2.4.42
अरुष्कर,P,2.4.42
अग्निमुखी,S,2.4.42
भल्लातकी,V,2.4.42
गर्दभाण्ड,P,2.4.43
कन्दराल,P,2.4.43
कपीतन,P,2.4.43
सुपार्श्वक,P,2.4.43
प्लक्ष,P,2.4.43
तिन्तिडी,S,2.4.43
चिञ्चा,S,2.4.43
अम्लिका,S,2.4.43
पीतसारक,P,2.4.43
सर्जक,P,2.4.44
असन,P,2.4.44
बन्धूकपुष्प,P,2.4.44
प्रियक,P,2.4.44
जीवक,P,2.4.44
साल,P,2.4.44
सर्ज,P,2.4.44
कार्श्य,P,2.4.44
अश्वकर्णक,P,2.4.44
सस्यसंवर,P,2.4.44
नदीसर्ज,P,2.4.45
वीरतरु,P,2.4.45
इन्द्रद्रु,P,2.4.45
ककुभ,P,2.4.45
अर्जुन,P,2.4.45
राजादन,PN,2.4.45
फलाध्यक्ष,P,2.4.45
क्षीरिका,S,2.4.45
इङ्गुदी,S,2.4.46
तापसतरु,P,2.4.46
भूर्ज,P,2.4.46
चर्मिन्,P,2.4.46
मृदुत्वच्,P,2.4.46
पिच्छिला,S,2.4.46
पूरणी,S,2.4.46
मोचा,S,2.4.46
स्थिरायुस्,P,2.4.46
शाल्मलि,P,2.4.46
पिच्छा,S,2.4.47
शाल्मलीवेष्ट,P,2.4.47
रोचन,P,2.4.47
कूटशाल्मलि,P,2.4.47
चिरबिल्व,P,2.4.47
नक्तमाल,P,2.4.47
करज,P,2.4.47
करञ्जक,P,2.4.47
प्रकीर्य,P,2.4.48
पूतिकरज,P,2.4.48
पूतिक,P,2.4.48
कलिमारक,P,2.4.48
षड्ग्रन्था,S,2.4.48
मर्कटी,S,2.4.48
अङ्गारवल्लरी,S,2.4.48
रोहिन्,P,2.4.49
रोहितक,P,2.4.49
प्लीहशत्रु,P,2.4.49
दाडिमपुष्पक,P,2.4.49
गायत्री,S,2.4.49
बालतनय,P,2.4.49
खदिर,P,2.4.49
दन्तधावन,P,2.4.49
अरिमेद,P,2.4.50
विट्खदिर,P,2.4.50
कदर,P,2.4.50
सोमवल्क,P,2.4.50
व्याघ्रपुच्छ,P,2.4.50
गन्धर्वहस्तक,P,2.4.50
एरण्ड,P,2.4.51
उरुबूक,P,2.4.51
रुचक,P,2.4.51
चित्रक,P,2.4.51
चञ्चु,P,2.4.51
पञ्चाङ्गुल,P,2.4.51
मण्ड,P,2.4.51
वर्धमान,P,2.4.51
व्यडम्बक,P,2.4.51
शमीर,P,2.4.52
शमी,S,2.4.52
सक्तुफला,S,2.4.52
शिवा,S,2.4.52
पिण्डीतक,P,2.4.52
मरुबक,P,2.4.52
श्वसन,P,2.4.52
करहाटक,P,2.4.52
शल्य,P,2.4.53
मदन,P,2.4.53
शक्रपादप,P,2.4.53
पारिभद्रक,P,2.4.53
भद्रदारु,PN,2.4.53
द्रुकिलिम,N,2.4.53
पीतदारु,N,2.4.53
दारु,N,2.4.53
पूतिकाष्ठ,N,2.4.54
देवदारु,PN,2.4.54
पाटलि,PS,2.4.54
पाटला,S,2.4.54
अमोघा,S,2.4.54
काचस्थाली,S,2.4.54
फलेरुहा,S,2.4.54
कृष्णवृन्ता,S,2.4.55
कुबेराक्षी,S,2.4.55
श्यामा,S,2.4.55
महिलाह्वय,S,2.4.55
लता,S,2.4.55
गोवन्दनी,S,2.4.55
गुन्द्रा,S,2.4.55
प्रियङ्गु,S,2.4.55
फलिनी,S,2.4.55
फली,S,2.4.55
विष्वक्सेना,S,2.4.56
गन्धफली,S,2.4.56
कारम्भा,S,2.4.56
प्रियक,P,2.4.56
मण्डूकपर्ण,P,2.4.56
पत्रोर्ण,P,2.4.56
नट,P,2.4.56
कट्वङ्ग,P,2.4.56
टुण्टुक,P,2.4.56
स्योनाक,P,2.4.57
शुकनास,P,2.4.57
ऋक्ष,P,2.4.57
दीर्घवृन्त,P,2.4.57
कुटन्नट,P,2.4.57
शोणक,P,2.4.57
अरलु,P,2.4.57
तिष्यफला,S,2.4.57
आमलकी,V,2.4.57
अमृता,S,2.4.58
वयःस्था,S,2.4.58
विभीतक,V,2.4.58
अक्ष,P,2.4.58
तुष,P,2.4.58
कर्षफल,P,2.4.58
भूतावास,P,2.4.58
कलिद्रुम,P,2.4.58
अभया,S,2.4.59
अव्यथा,S,2.4.59
पथ्या,S,2.4.59
कायस्था,S,2.4.59
पूतना,S,2.4.59
अमृता,S,2.4.59
हरीतकी,S,2.4.59
हैमवती,S,2.4.59
चेतकी,S,2.4.59
श्रेयसी,S,2.4.59
शिवा,S,2.4.59
पीतद्रु,P,2.4.60
सरल,P,2.4.60
पूतिकाष्ठ,N,2.4.60
द्रुमोत्पल,P,2.4.60
कर्णिकार,P,2.4.60
परिव्याध,P,2.4.60
लकुच,P,2.4.60
लिकुच,P,2.4.60
डहु,P,2.4.60
पनस,P,2.4.61
कण्टकिफल,P,2.4.61
निचुल,P,2.4.61
हिज्जल,P,2.4.61
अम्बुज,P,2.4.61
काकोदुम्बरिका,S,2.4.61
फल्गु,N,2.4.61
मलपू,S,2.4.61
जघनेफला,S,2.4.61
अरिष्ट,P,2.4.62
सर्वतोभद्र,P,2.4.62
हिङ्गुनिर्यास,P,2.4.62
मालक,P,2.4.62
पिचुमन्द,P,2.4.62
निम्ब,P,2.4.62
पिच्छिल,V,2.4.62
अगुरु,N,2.4.62
शिंशपा,S,2.4.62
कपिला,S,2.4.63
भस्मगर्भा,S,2.4.63
शिरीष,P,2.4.63
कपीतन,P,2.4.63
भण्डिल,P,2.4.63
चाम्पेय,P,2.4.63
चाम्पक,P,2.4.63
हेमपुष्पक,P,2.4.63
गन्धफली,S,2.4.64
केसर,PN,2.4.64
बकुल,P,2.4.64
वञ्जुल,P,2.4.64
अशोक,P,2.4.64
करक,P,2.4.64
दाडिम,P,2.4.64
चाम्पेय,P,2.4.65
केसर,P,2.4.65
नागकेसर,P,2.4.65
काञ्चनाह्वय,P,2.4.65
जया,S,2.4.65
जयन्ती,S,2.4.65
तर्कारी,S,2.4.65
नादेयी,S,2.4.65
वैजयन्तिका,S,2.4.65
श्रीपर्ण,N,2.4.66
अग्निमन्थ,P,2.4.66
कणिका,S,2.4.66
गणिकारिका,S,2.4.66
जय,P,2.4.66
कुटज,P,2.4.66
शक्र,P,2.4.66
वत्सक,P,2.4.66
गिरिमल्लिका,S,2.4.66
कलिङ्ग,N,2.4.67
इन्द्रयव,N,2.4.67
भद्रयव,N,2.4.67
कृष्णपाकफल,P,2.4.67
आविग्न,P,2.4.67
सुषेण,P,2.4.67
करमर्दक,P,2.4.67
कालस्कन्ध,P,2.4.68
तमाल,P,2.4.68
तापिच्छ,P,2.4.68
सिन्दुक,P,2.4.68
सिन्दुवार,P,2.4.68
इन्द्रसुरस,P,2.4.68
निर्गुण्डी,S,2.4.68
इन्द्राणिका,S,2.4.68
वेणी,S,2.4.69
खरा,S,2.4.69
गरी,S,2.4.69
देवताड,P,2.4.69
जीमूत,P,2.4.69
श्रीहस्तिनी,S,2.4.69
भूरुण्डी,S,2.4.69
तृणशून्य,N,2.4.69
मल्लिका,S,2.4.69
भूपदी,S,2.4.70
शीतभीरु,P,2.4.70
आस्फोटा,S,2.4.70
शेफालिका,S,2.4.70
सुवहा,S,2.4.70
निर्गुण्डी,S,2.4.70
नीलिका,S,2.4.70
सिता,S,2.4.71
श्वेतसुरसा,S,2.4.71
भूतवेशी,S,2.4.71
मागधी,S,2.4.71
गणिका,S,2.4.71
यूथिका,S,2.4.71
अम्बष्ठा,S,2.4.71
हेमपुष्पिका,S,2.4.71
अतिमुक्त,P,2.4.72
पुण्ड्रक,P,2.4.72
वासन्ती,S,2.4.72
माधवी,S,2.4.72
लता,S,2.4.72
सुमनस्,S,2.4.72
मालती,S,2.4.72
जाति,S,2.4.72
सप्तला,S,2.4.72
नवमालिका,S,2.4.72
माध्य,PN,2.4.73
कुन्द,PN,2.4.73
रक्तक,P,2.4.73
बन्धूक,P,2.4.73
बन्धुजीवक,P,2.4.73
सहा,S,2.4.73
कुमारी,S,2.4.73
तरणि,P,2.4.73
अम्लान,P,2.4.73
महासहा,S,2.4.73
कुरबक,P,2.4.74
कुरण्टक,P,2.4.74
नीली,S,2.4.74
झिण्टी,S,2.4.74
बाणा,PS,2.4.74
दासी,S,2.4.74
आर्तगल,P,2.4.74
सैरेयक,P,2.4.75
झिण्टी,S,2.4.75
कुरबक,P,2.4.75
कुरण्टक,P,2.4.75
सहचरी,PS,2.4.75
ओड्रपुष्प,N,2.4.76
जपापुष्प,N,2.4.76
वज्रपुष्प,N,2.4.76
प्रतिहास,P,2.4.76
शतप्रास,P,2.4.76
चण्डात,P,2.4.76
हयमारक,P,2.4.76
करवीर,P,2.4.77
करीर,P,2.4.77
क्रकर,P,2.4.77
ग्रन्थिल,P,2.4.77
उन्मत्त,P,2.4.77
कितव,P,2.4.77
धूर्त,P,2.4.77
धत्तूर,P,2.4.77
कनकाह्वय,P,2.4.77
मातुल,P,2.4.78
मदन,P,2.4.78
मातुलपुत्रक,P,2.4.78
फलपूर,P,2.4.78
बीजपूर,P,2.4.78
रुचक,P,2.4.78
मातुलुङ्गक,P,2.4.78
समीरण,P,2.4.79
मरुबक,P,2.4.79
प्रस्थपुष्प,P,2.4.79
फणिज्जक,P,2.4.79
जम्बीर,P,2.4.79
पर्णास,P,2.4.79
कठिञ्जर,P,2.4.79
कुठेरक,P,2.4.79
अर्जक,P,2.4.80
पाठिन्,P,2.4.80
चित्रक,P,2.4.80
वह्निसंज्ञक,P,2.4.80
अर्काह्व,P,2.4.80
वसुक,P,2.4.80
आस्फोट,P,2.4.80
गणरूप,P,2.4.80
विकीरण,P,2.4.80
मन्दार,P,2.4.81
अर्कपर्ण,P,2.4.81
अलर्क,P,2.4.81
प्रतापस,P,2.4.81
शिवमल्ली,S,2.4.81
पाशुपत,P,2.4.81
एकाष्ठील,P,2.4.81
बुक,P,2.4.81
वसु,P,2.4.81
वन्दा,S,2.4.82
वृक्षादनी,S,2.4.82
वृक्षरुहा,S,2.4.82
जीवन्तिका,S,2.4.82
वत्सादनी,S,2.4.82
छिन्नरुहा,S,2.4.82
गुडूची,S,2.4.82
तन्त्रिका,S,2.4.82
अमृता,S,2.4.82
जीवन्तिका,S,2.4.83
सोमवल्ली,S,2.4.83
विशल्या,S,2.4.83
मधुपर्णी,S,2.4.83
मूर्वा,S,2.4.83
देवी,S,2.4.83
मधुरसा,S,2.4.83
मोरटा,S,2.4.83
तेजनी,S,2.4.83
स्रवा,S,2.4.83
मधूलिका,S,2.4.84
मधुश्रेणी,S,2.4.84
गोकर्णी,S,2.4.84
पीलुपर्णी,S,2.4.84
पाटा,S,2.4.84
अम्बष्ठा,S,2.4.84
विद्धकर्णी,S,2.4.84
स्थापनी,S,2.4.84
श्रेयसी,S,2.4.84
रसा,S,2.4.84
एकाष्टीला,S,2.4.85
पापचेली,S,2.4.85
प्राचीना,S,2.4.85
वनतिक्तका,S,2.4.85
कटु,S,2.4.85
कटम्भरा,S,2.4.85
अशोकरोहिणी,S,2.4.85
कटुरोहिणी,S,2.4.85
मत्स्यपित्ता,S,2.4.86
कृष्णभेदी,S,2.4.86
चक्राङ्गी,S,2.4.86
शकुलादनी,S,2.4.86
आत्मगुप्ता,S,2.4.86
जहा,S,2.4.86
अव्यण्डा,S,2.4.86
कण्डूरा,S,2.4.86
प्रावृषायणी,S,2.4.86
ऋष्यप्रोक्ता,S,2.4.87
शूकशिम्बि,S,2.4.87
कपिकच्छू,S,2.4.87
मर्कटी,S,2.4.87
चित्रा,S,2.4.87
उपचित्रा,S,2.4.87
न्यग्रोधी,S,2.4.87
द्रवन्ती,S,2.4.87
शम्बरी,S,2.4.87
वृषा,S,2.4.87
प्रत्यक्श्रेणी,S,2.4.88
सुतश्रेणी,S,2.4.88
रण्डा,S,2.4.88
मूषिकपर्णी,S,2.4.88
अपामार्ग,P,2.4.88
शैखरिक,P,2.4.88
धामार्गव,P,2.4.88
मयूरक,P,2.4.88
प्रत्यक्पर्णी,S,2.4.89
केशपर्णी,S,2.4.89
किणिही,S,2.4.89
खरमञ्जरी,S,2.4.89
हञ्जिका,S,2.4.89
ब्राह्मणी,S,2.4.89
पद्मा,S,2.4.89
भार्गी,S,2.4.89
ब्राह्मणयष्टिका,S,2.4.89
अङ्गारवल्ली,S,2.4.90
बालेयशाक,P,2.4.90
बर्बर,P,2.4.90
वर्धक,P,2.4.90
मञ्जिष्टा,S,2.4.90
विकसा,S,2.4.90
जिङ्गी,S,2.4.90
समङ्गा,S,2.4.90
कालमेषिका,S,2.4.90
मण्डूकपर्णी,S,2.4.91
भण्डीरी,S,2.4.91
भण्डी,S,2.4.91
योजनवल्ली,S,2.4.91
यास,P,2.4.91
यवास,P,2.4.91
दुःस्पर्श,P,2.4.91
धन्वयास,P,2.4.91
कुनाशक,P,2.4.91
रोदनी,S,2.4.92
कच्छु,S,2.4.92
अनन्ता,S,2.4.92
समुद्रान्ता,S,2.4.92
दुरालभा,S,2.4.92
पृश्निपर्णी,S,2.4.92
पृथक्पर्णी,S,2.4.92
चित्रपर्णी,S,2.4.92
अङ्घ्रिवल्लिका,S,2.4.92
क्रोष्टुविन्ना,S,2.4.93
सिंहपुच्छी,S,2.4.93
कलशी,S,2.4.93
धावनी,S,2.4.93
गुहा,S,2.4.93
निदिग्धिका,S,2.4.93
स्पृशी,S,2.4.93
व्याघ्री,S,2.4.93
बृहती,S,2.4.93
कण्टकारिका,S,2.4.93
प्रचोदनी,S,2.4.94
कुली,S,2.4.94
क्षुद्रा,S,2.4.94
दुःस्पर्शा,S,2.4.94
राष्ट्रिका,S,2.4.94
नीली,S,2.4.94
काला,S,2.4.94
क्लीतकिका,S,2.4.94
ग्रामीणा,S,2.4.94
मधुपर्णिका,S,2.4.94
रञ्जनी,S,2.4.95
श्रीफली,S,2.4.95
तुत्था,S,2.4.95
द्रोणी,S,2.4.95
दोला,S,2.4.95
नीलिनी,S,2.4.95
अवल्गुज,P,2.4.95
सोमराजी,S,2.4.95
सुवल्ली,S,2.4.95
सोमवल्लिका,S,2.4.95
कालमेषी,S,2.4.96
कृष्णफली,S,2.4.96
बाकुची,S,2.4.96
पूतिफली,S,2.4.96
कृष्णा,S,2.4.96
उपकुल्या,S,2.4.96
वैदेही,S,2.4.96
मागधी,S,2.4.96
चपला,S,2.4.96
कणा,S,2.4.96
उषणा,S,2.4.97
पिप्पली,S,2.4.97
शौण्डी,S,2.4.97
कोला,S,2.4.97
करिपिप्पली,S,2.4.97
कपिवल्ली,S,2.4.97
कोलवल्ली,S,2.4.97
श्रेयसी,S,2.4.97
वशिर,P,2.4.97
चव्य,N,2.4.98
चविका,S,2.4.98
काकचिञ्चा,S,2.4.98
गुञ्जा,S,2.4.98
कृष्णला,S,2.4.98
पलङ्कषा,S,2.4.98
इक्षुगन्धा,S,2.4.98
श्वदंष्ट्रा,S,2.4.98
स्वादुकण्टक,P,2.4.98
गोकण्टक,P,2.4.99
गोक्षुरक,P,2.4.99
वनशृङ्गाट,P,2.4.99
विश्वा,S,2.4.99
विषा,S,2.4.99
प्रतिविषा,S,2.4.99
अतिविषा,S,2.4.99
उपविषा,S,2.4.99
अरुणा,S,2.4.99
शृङ्गी,S,2.4.100
महौषध,N,2.4.100
क्षीरावी,S,2.4.100
दुग्धिका,S,2.4.100
शतमूली,S,2.4.100
बहुसुता,S,2.4.100
भीरु,S,2.4.100
इन्दीवरी,S,2.4.100
वरी,S,2.4.100
ऋष्यप्रोक्ता,S,2.4.101
भीरुपत्री,S,2.4.101
नारायणी,S,2.4.101
शतावरी,S,2.4.101
अहेरु,S,2.4.101
पीतद्रु,P,2.4.101
कालीयक,P,2.4.101
हरिद्रव,P,2.4.101
दार्वी,S,2.4.102
पचम्पचा,S,2.4.102
दारुहरिद्रा,S,2.4.102
पर्जनी,S,2.4.102
वचा,S,2.4.102
उग्रगन्धा,S,2.4.102
षड्ग्रन्था,S,2.4.102
गोलोमी,S,2.4.102
शतपर्विका,S,2.4.102
हैमवती,S,2.4.103
वैद्यमातृ,S,2.4.103
सिंही,S,2.4.103
वाशिका,S,2.4.103
वृष,P,2.4.103
अटरूष,P,2.4.103
सिंहास्य,P,2.4.103
वासक,P,2.4.103
वाजिदन्तक,P,2.4.103
आस्फोटा,S,2.4.104
गिरिकर्णी,S,2.4.104
विष्णुक्रान्ता,S,2.4.104
अपराजिता,S,2.4.104
इक्षुगन्धा,S,2.4.104
काण्डेक्षु,P,2.4.104
कोकिलाक्ष,P,2.4.104
इक्षुर,P,2.4.104
क्षुर,P,2.4.104
शालेय,P,2.4.105
शीतशिव,P,2.4.105
छत्रा,S,2.4.105
मधुरिका,S,2.4.105
मिसि,S,2.4.105
मिश्रेय,P,2.4.105
सीहुण्ड,P,2.4.105
वज्रद्रु,P,2.4.105
स्नुक्,S,2.4.105
स्नुही,S,2.4.105
गुडा,S,2.4.105
समन्तदुग्धा,S,2.4.106
वेल्ल,PN,2.4.106
अमोघा,S,2.4.106
चित्रतण्डुला,S,2.4.106
तण्डुल,P,2.4.106
कृमिघ्न,P,2.4.106
विडङ्ग,PN,2.4.106
बला,S,2.4.107
वाट्यालक,P,2.4.107
घण्टारवा,S,2.4.107
शणपुष्पिका,S,2.4.107
मृद्वीका,S,2.4.107
गोस्तनी,S,2.4.107
द्राक्षा,S,2.4.107
स्वाद्वी,S,2.4.107
मधुरसा,S,2.4.107
सर्वानुभूति,S,2.4.108
सरला,S,2.4.108
त्रिपुटा,S,2.4.108
त्रिवृता,S,2.4.108
त्रिवृत्,S,2.4.108
त्रिभण्डी,S,2.4.108
रोचनी,S,2.4.108
श्यामा,S,2.4.108
पालिन्दी,S,2.4.108
सुषेणिका,S,2.4.108
काला,S,2.4.109
मसूरविदला,S,2.4.109
अर्धचन्द्रा,S,2.4.109
कालमेषिका,S,2.4.109
मधुक,N,2.4.109
क्लीतक,N,2.4.109
यष्टिमधुक,N,2.4.109
मधुयष्टिका,S,2.4.109
विदारी,S,2.4.110
क्षीरशुक्ला,S,2.4.110
इक्षुगन्धा,S,2.4.110
क्रोष्ट्री,S,2.4.110
सिता,S,2.4.110
क्षीरविदारी,S,2.4.110
महाश्वेता,S,2.4.110
ऋक्षगन्धिका,S,2.4.110
लाङ्गली,S,2.4.111
शारदी,S,2.4.111
तोयपिप्पली,S,2.4.111
शकुलादनी,S,2.4.111
खराश्वा,S,2.4.111
कारवी,S,2.4.111
दीप्य,P,2.4.111
मयूर,P,2.4.111
लोचमस्तक,P,2.4.111
गोपी,S,2.4.112
श्यामा,S,2.4.112
शारिवा,S,2.4.112
अनन्ता,S,2.4.112
उत्पलशारिवा,S,2.4.112
योग्य,N,2.4.112
ऋद्धि,S,2.4.112
सिद्धि,S,2.4.112
लक्ष्मी,S,2.4.112
वृद्धि,S,2.4.112
आह्वय,P,2.4.112
कदली,S,2.4.113
वारणबुसा,S,2.4.113
रम्भा,S,2.4.113
मोचा,S,2.4.113
अंशुमत्फला,S,2.4.113
काष्ठीला,S,2.4.113
मुद्गपर्णी,S,2.4.113
काकमुद्गा,S,2.4.113
सहा,S,2.4.113
वार्ताकी,S,2.4.114
हिङ्गुली,S,2.4.114
सिंही,S,2.4.114
भण्डाकी,S,2.4.114
दुष्प्रधर्षिणी,S,2.4.114
नाकुली,S,2.4.114
सुरसा,S,2.4.114
रास्ना,S,2.4.114
सुगन्धा,S,2.4.114
गन्धनाकुली,S,2.4.114
नकुलेष्टा,S,2.4.115
भुजङ्गाक्षी,S,2.4.115
छत्राकी,S,2.4.115
सुवहा,S,2.4.115
विदारिगन्धा,S,2.4.115
अंशुमती,S,2.4.115
सालपर्णी,S,2.4.115
स्थिरा,S,2.4.115
ध्रुवा,S,2.4.115
तुण्डिकेरी,S,2.4.116
समुद्रान्ता,S,2.4.116
कार्पासी,S,2.4.116
बदरा,S,2.4.116
भारद्वाजी,S,2.4.116
शृङ्गी,S,2.4.116
ऋषभ,P,2.4.116
वृष,P,2.4.116
गाङ्गेरुकी,S,2.4.117
नागबला,S,2.4.117
झषा,S,2.4.117
ह्रस्वगवेधुका,S,2.4.117
धामार्गव,P,2.4.117
घोषक,P,2.4.117
महाजालिन्,S,2.4.117
ज्योत्स्नी,S,2.4.118
पटोलिका,S,2.4.118
जाली,S,2.4.118
नादेयी,S,2.4.118
भूमिजम्बुका,S,2.4.118
लाङ्गलिकी,S,2.4.118
अग्निशिखा,S,2.4.118
काकाङ्गी,S,2.4.118
काकनासिका,S,2.4.118
गोधापदी,S,2.4.119
सुवहा,S,2.4.119
मुसली,S,2.4.119
तालमूलिका,S,2.4.119
अजशृङ्गी,S,2.4.119
विषाणी,S,2.4.119
गोजिह्वा,S,2.4.119
दार्विका,S,2.4.119
ताम्बूलवल्ली,S,2.4.120
ताम्बूली,S,2.4.120
नागवल्ली,S,2.4.120
द्विजा,S,2.4.120
हरेणू,S,2.4.120
रेणुका,S,2.4.120
कौन्ती,S,2.4.120
कपिला,S,2.4.120
भस्मगन्धिनी,S,2.4.120
एलावालुक,N,2.4.121
ऐलेय,N,2.4.121
सुगन्धि,P,2.4.121
हरिवालुक,N,2.4.121
वालुक,N,2.4.121
पालङ्क्या,S,2.4.121
मुकुन्द,P,2.4.121
कुन्द,P,2.4.121
कुन्दुरु,P,2.4.121
बाल,N,2.4.122
ह्रीबेर,N,2.4.122
बर्हिष्ठ,N,2.4.122
उदीच्य,N,2.4.122
केशाम्बुनाम,N,2.4.122
कालानुसार्य,N,2.4.122
वृद्ध,N,2.4.122
अश्मपुष्प,N,2.4.122
शीतशिव,N,2.4.122
शैलेय,N,2.4.123
तालपर्णी,S,2.4.123
दैत्या,S,2.4.123
गन्धकुटी,S,2.4.123
मुरा,S,2.4.123
गन्धिनी,S,2.4.123
गजभक्ष्या,S,2.4.123
सुवहा,S,2.4.123
सुरभी,S,2.4.123
रसा,S,2.4.123
महेरणा,S,2.4.124
कुन्दुरुकी,S,2.4.124
सल्लकी,S,2.4.124
ह्लादिनी,S,2.4.124
अग्निज्वाला,S,2.4.124
सुभिक्षा,S,2.4.124
धातकी,S,2.4.124
धातुपुष्पिका,S,2.4.124
पृथ्वीका,S,2.4.125
चन्द्रबाला,S,2.4.125
एला,S,2.4.125
निष्कुटी,S,2.4.125
बहुला,S,2.4.125
उपकुञ्चिका,S,2.4.125
तुत्था,S,2.4.125
कोरङ्गी,S,2.4.125
त्रिपुटा,S,2.4.125
त्रुटि,S,2.4.125
व्याधि,P,2.4.126
कुष्ठ,N,2.4.126
पारिभाव्य,N,2.4.126
वाप्य,N,2.4.126
पाकल,N,2.4.126
उत्पल,N,2.4.126
शङ्खिनी,S,2.4.126
चोरपुष्पी,S,2.4.126
केशिनी,S,2.4.126
वितुन्नक,P,2.4.126
झटा,S,2.4.127
अमला,S,2.4.127
अज्झटा,S,2.4.127
ताली,S,2.4.127
शिवा,S,2.4.127
तामलकी,S,2.4.127
प्रपौण्डरीक,N,2.4.127
पौण्डर्य,N,2.4.127
तुन्न,P,2.4.127
कुबेरक,P,2.4.127
कुणि,P,2.4.128
कच्छ,P,2.4.128
कान्तलक,P,2.4.128
नन्दिवृक्ष,P,2.4.128
राक्षसी,S,2.4.128
चण्डा,S,2.4.128
धनहरी,S,2.4.128
क्षेम,P,2.4.128
दुष्पत्र,P,2.4.128
गणहासक,P,2.4.128
व्याडायुध,N,2.4.129
व्याघ्रनख,N,2.4.129
करज,N,2.4.129
चक्रकारक,N,2.4.129
शुषिरा,S,2.4.129
विद्रुमलता,S,2.4.129
कपोताङ्घ्रि,S,2.4.129
नटी,S,2.4.129
नली,S,2.4.129
धमनी,S,2.4.130
अञ्जनकेशी,S,2.4.130
हनु,S,2.4.130
हट्टविलासिनी,S,2.4.130
शुक्ति,S,2.4.130
शङ्ख,P,2.4.130
खुर,P,2.4.130
कोलदल,N,2.4.130
नख,N,2.4.130
आढकी,S,2.4.130
काक्षी,S,2.4.131
मृत्स्ना,S,2.4.131
तुवरिका,S,2.4.131
मृत्तालक,N,2.4.131
सुराष्ट्रज,N,2.4.131
कुटन्नट,N,2.4.131
दाशपुर,N,2.4.131
वानेय,N,2.4.131
परिपेलव,N,2.4.131
प्लव,N,2.4.132
गोपुर,N,2.4.132
गोनर्द,N,2.4.132
कैवर्तीमुस्तक,N,2.4.132
ग्रन्थिपर्ण,N,2.4.132
शुक,N,2.4.132
बर्हपुष्प,N,2.4.132
स्थौणेय,N,2.4.132
कुक्कुर,N,2.4.132
मरुन्माला,S,2.4.133
पिशुना,S,2.4.133
स्पृक्का,S,2.4.133
देवी,S,2.4.133
लता,S,2.4.133
लघु,P,2.4.133
समुद्रान्ता,S,2.4.133
वधू,S,2.4.133
कोटिवर्षा,S,2.4.133
लङ्कोपिक,S,2.4.133
तपस्विनी,S,2.4.134
जटा,S,2.4.134
मांसी,S,2.4.134
जटिला,S,2.4.134
लोमश,P,2.4.134
मिसी,S,2.4.134
त्वक्पत्र,N,2.4.134
उत्कट,N,2.4.134
भृङ्ग,N,2.4.134
त्वच,N,2.4.134
चोच,N,2.4.134
वराङ्गक,N,2.4.134
कर्चूरक,P,2.4.135
द्राविडक,P,2.4.135
काल्पक,P,2.4.135
वेधमुख्यक,P,2.4.135
ओषधी,S,2.4.135
तण्डुलीय,P,2.4.136
अल्पमारिष,P,2.4.136
विशल्या,S,2.4.136
अग्निशिखा,S,2.4.136
अनन्ता,S,2.4.136
फलिनी,S,2.4.136
शक्रपुष्पिका,S,2.4.136
ऋक्षगन्धा,S,2.4.137
छगलान्त्री,S,2.4.137
आवेगी,S,2.4.137
वृद्धदारक,P,2.4.137
जुङ्ग,P,2.4.137
ब्रम्ही,S,2.4.137
मत्स्याक्षी,S,2.4.137
वयःस्था,S,2.4.137
सोमवल्लरी,S,2.4.137
पटुपर्णी,S,2.4.138
हैमवती,S,2.4.138
स्वर्णक्षीरी,S,2.4.138
हिमावती,S,2.4.138
हयपुच्छी,S,2.4.138
काम्बोजी,S,2.4.138
माषपर्णी,S,2.4.138
महासहा,S,2.4.138
तुण्डिकेरी,S,2.4.139
रक्तफला,S,2.4.139
बिम्बिका,S,2.4.139
पीलुपर्णी,S,2.4.139
बर्बरा,S,2.4.139
कबरी,S,2.4.139
तुङ्गी,S,2.4.139
खरपुष्पा,S,2.4.139
अजगन्धिका,S,2.4.139
एलापर्णी,S,2.4.140
सुवहा,S,2.4.140
रास्ना,S,2.4.140
युक्तरसा,S,2.4.140
चाङ्गेरी,S,2.4.140
चुक्रिका,S,2.4.140
दन्तशठा,S,2.4.140
अम्बष्ठा,S,2.4.140
अम्ललोणिका,S,2.4.140
सहस्रवेधिन्,P,2.4.141
चुक्र,P,2.4.141
