सङ्कर्षण,P,1.1.26
सीरपाणि,P,1.1.26
कालिन्दीभेदन,P,1.1.26
बल,P,1.1.26
मदन,P,1.1.27
मन्मथ,P,1.1.27
मार,P,1.1.27
प्रद्युम्न,P,1.1.27
मीनकेतन,P,1.1.27
कन्दर्प,P,1.1.27
दर्पक,P,1.1.27
अनङ्ग,P,1.1.27
काम,P,1.1.27
पञ्चशर,P,1.1.27
स्मर,P,1.1.27
शम्बरारि,P,1.1.28
मनसिज,P,1.1.28
कुसुमेषु,P,1.1.28
अनन्यज,P,1.1.28
पुष्पधन्वन्,P,1.1.28
रतिपति,P,1.1.28
मकरध्वज,P,1.1.28
आत्मभू,P,1.1.28
अरविन्द,N,1.1.29
अशोक,N,1.1.29
चूत,P,1.1.29
नवमल्लिका,S,1.1.29
नीलोत्पल,N,1.1.29
पञ्चबाण,P,1.1.29
उन्मादन,N,1.1.30
तापन,N,1.1.30
शोषण,N,1.1.30
स्तम्भन,N,1.1.30
सम्मोहन,N,1.1.30
काम,P,1.1.30
ब्रह्मसू,P,1.1.31
विश्वकेतु,P,1.1.31
अनिरुद्ध,P,1.1.31
उषापति,P,1.1.31
लक्ष्मी,S,1.1.31
पद्मालया,S,1.1.31
पद्मा,S,1.1.31
कमला,S,1.1.31
श्री,S,1.1.31
हरिप्रिया,S,1.1.31
इन्दिरा,S,1.1.32
लोकमातृ,S,1.1.32
मा,S,1.1.32
क्षीरोदतनया,S,1.1.32
रमा,S,1.1.32
भार्गवी,S,1.1.32
लोकजननी,S,1.1.32
क्षीरसागरकन्यका,S,1.1.32
लक्ष्मीपति,P,1.1.33
पाञ्चजन्य,P,1.1.33
सुदर्शन,PN,1.1.33
कौमोदकी,S,1.1.33
नन्दक,P,1.1.33
कौस्तुभ,P,1.1.33
शार्ङ्ग,P,1.1.34
मुरारि,P,1.1.34
श्रीवत्स,P,1.1.34
शैव्य,P,1.1.34
सुग्रीव,P,1.1.34
मेघपुष्प,N,1.1.34
बलाहक,P,1.1.34
दारुक,P,1.1.35
उद्धव,P,1.1.35
गद,P,1.1.35
गरुत्मत्,P,1.1.35
गरुड,P,1.1.35
तार्क्ष्य,P,1.1.35
वैनतेय,P,1.1.35
खगेश्वर,P,1.1.35
नागान्तक,P,1.1.36
विष्णुरथ,P,1.1.36
सुपर्ण,P,1.1.36
पन्नगाशन,P,1.1.36
शम्भु,P,1.1.36
ईश,P,1.1.36
पशुपति,P,1.1.36
शिव,P,1.1.36
शूलिन्,P,1.1.36
महेश्वर,P,1.1.36
ईश्वर,P,1.1.37
शर्व,P,1.1.37
ईशान,P,1.1.37
शङ्कर,P,1.1.37
चन्द्रशेखर,P,1.1.37
भूतेश,P,1.1.37
खण्डपरशु,P,1.1.37
गिरीश,P,1.1.37
गिरिश,P,1.1.37
मृड,P,1.1.37
मृत्युञ्जय,P,1.1.38
कृत्तिवासस्,P,1.1.38
पिनाकिन्,P,1.1.38
प्रमथाधिप,P,1.1.38
उग्र,P,1.1.38
कपर्दिन्,P,1.1.38
श्रीकण्ठ,P,1.1.38
शितिकण्ठ,P,1.1.38
कपालभृत्,P,1.1.38
वामदेव,P,1.1.39
महादेव,P,1.1.39
विरूपाक्ष,P,1.1.39
त्रिलोचन,P,1.1.39
कृशानुरेतस्,P,1.1.39
सर्वज्ञ,P,1.1.39
धूर्जटि,P,1.1.39
नीललोहित,P,1.1.39
हर,P,1.1.40
स्मरहर,P,1.1.40
भर्ग,P,1.1.40
त्र्यम्बक,P,1.1.40
त्रिपुरान्तक,P,1.1.40
गङ्गाधर,P,1.1.40
अन्धकरिपु,P,1.1.40
क्रतुध्वंसिन्,P,1.1.40
वृषध्वज,P,1.1.40
व्योमकेश,P,1.1.41
भव,P,1.1.41
भीम,P,1.1.41
स्थाणु,P,1.1.41
रुद्र,P,1.1.41
उमापति,P,1.1.41
अहिर्बुध्न्य,P,1.1.41
अष्टमूर्ति,P,1.1.41
गजारि,P,1.1.41
महानट,P,1.1.41
कपर्द,P,1.1.42
जटाजूट,P,1.1.42
पिनाक,P,1.1.42
अजगव,N,1.1.42
प्रमथ,P,1.1.42
पारिषद,P,1.1.42
ब्राह्मी,S,1.1.43
माहेश्वरी,S,1.1.43
कौमारी,S,1.1.43
वैष्णवी,S,1.1.43
वाराही,S,1.1.43
इन्द्राणी,S,1.1.43
चामुण्डा,S,1.1.43
विभूति,S,1.1.44
भूति,S,1.1.44
ऐश्वर्य,N,1.1.44
अणिमन्,P,1.1.44
महिमन्,P,1.1.44
गरिमन्,P,1.1.44
लघिमन्,P,1.1.44
प्राप्ति,S,1.1.45
प्राकाम्य,N,1.1.45
ईशित्व,N,1.1.45
वशित्व,N,1.1.45
उमा,S,1.1.45
कात्यायनी,S,1.1.45
गौरी,S,1.1.45
काली,S,1.1.45
हैमवती,S,1.1.45
