दिविषद्,देवः,अमर निर्जर देव त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभव अस्वप्न अमर्त्य अमृतान्धस् बर्हिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता दिव्योपपादुक विवस्वत् अनिमिष
लेख,देवः,अमर निर्जर देव त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभव अस्वप्न अमर्त्य अमृतान्धस् बर्हिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता दिव्योपपादुक विवस्वत् अनिमिष
अदितिनन्दन,देवः,अमर निर्जर देव त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभव अस्वप्न अमर्त्य अमृतान्धस् बर्हिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता दिव्योपपादुक विवस्वत् अनिमिष
आदित्य,देवः,अमर निर्जर देव त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभव अस्वप्न अमर्त्य अमृतान्धस् बर्हिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता दिव्योपपादुक विवस्वत् अनिमिष
ऋभव,देवः,अमर निर्जर देव त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभव अस्वप्न अमर्त्य अमृतान्धस् बर्हिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता दिव्योपपादुक विवस्वत् अनिमिष
अस्वप्न,देवः,अमर निर्जर देव त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभव अस्वप्न अमर्त्य अमृतान्धस् बर्हिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता दिव्योपपादुक विवस्वत् अनिमिष
अमर्त्य,देवः,अमर निर्जर देव त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभव अस्वप्न अमर्त्य अमृतान्धस् बर्हिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता दिव्योपपादुक विवस्वत् अनिमिष
अमृतान्धस्,देवः,अमर निर्जर देव त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभव अस्वप्न अमर्त्य अमृतान्धस् बर्हिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता दिव्योपपादुक विवस्वत् अनिमिष
बर्हिर्मुख,देवः,अमर निर्जर देव त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभव अस्वप्न अमर्त्य अमृतान्धस् बर्हिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता दिव्योपपादुक विवस्वत् अनिमिष
क्रतुभुज्,देवः,अमर निर्जर देव त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभव अस्वप्न अमर्त्य अमृतान्धस् बर्हिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता दिव्योपपादुक विवस्वत् अनिमिष
गीर्वाण,देवः,अमर निर्जर देव त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभव अस्वप्न अमर्त्य अमृतान्धस् बर्हिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता दिव्योपपादुक विवस्वत् अनिमिष
दानवारि,देवः,अमर निर्जर देव त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभव अस्वप्न अमर्त्य अमृतान्धस् बर्हिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता दिव्योपपादुक विवस्वत् अनिमिष
वृन्दारक,देवः,अमर निर्जर देव त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभव अस्वप्न अमर्त्य अमृतान्धस् बर्हिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता दिव्योपपादुक विवस्वत् अनिमिष
दैवत,देवः,अमर निर्जर देव त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभव अस्वप्न अमर्त्य अमृतान्धस् बर्हिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता दिव्योपपादुक विवस्वत् अनिमिष
देवता,देवः,अमर निर्जर देव त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभव अस्वप्न अमर्त्य अमृतान्धस् बर्हिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता दिव्योपपादुक विवस्वत् अनिमिष
आदित्य,गणदेवता,आदित्य विश्व वसु तुषित आभास्वर अनिल महाराजिक साध्य रुद्र
विश्व,गणदेवता,आदित्य विश्व वसु तुषित आभास्वर अनिल महाराजिक साध्य रुद्र
वसु,गणदेवता,आदित्य विश्व वसु तुषित आभास्वर अनिल महाराजिक साध्य रुद्र
तुषित,गणदेवता,आदित्य विश्व वसु तुषित आभास्वर अनिल महाराजिक साध्य रुद्र
आभास्वर,गणदेवता,आदित्य विश्व वसु तुषित आभास्वर अनिल महाराजिक साध्य रुद्र
अनिल,गणदेवता,आदित्य विश्व वसु तुषित आभास्वर अनिल महाराजिक साध्य रुद्र
महाराजिक,गणदेवता,आदित्य विश्व वसु तुषित आभास्वर अनिल महाराजिक साध्य रुद्र
साध्य,गणदेवता,आदित्य विश्व वसु तुषित आभास्वर अनिल महाराजिक साध्य रुद्र
रुद्र,गणदेवता,आदित्य विश्व वसु तुषित आभास्वर अनिल महाराजिक साध्य रुद्र
विद्याधर,देवयोनिः,विद्याधर अप्सरस् यक्ष रक्षस् गन्धर्व किन्नर पिशाच गुह्यक सिद्ध भूत
अप्सरस्,देवयोनिः,विद्याधर अप्सरस् यक्ष रक्षस् गन्धर्व किन्नर पिशाच गुह्यक सिद्ध भूत
यक्ष,देवयोनिः,विद्याधर अप्सरस् यक्ष रक्षस् गन्धर्व किन्नर पिशाच गुह्यक सिद्ध भूत
रक्षस्,देवयोनिः,विद्याधर अप्सरस् यक्ष रक्षस् गन्धर्व किन्नर पिशाच गुह्यक सिद्ध भूत
गन्धर्व,देवयोनिः,विद्याधर अप्सरस् यक्ष रक्षस् गन्धर्व किन्नर पिशाच गुह्यक सिद्ध भूत
किन्नर,देवयोनिः,विद्याधर अप्सरस् यक्ष रक्षस् गन्धर्व किन्नर पिशाच गुह्यक सिद्ध भूत
पिशाच,देवयोनिः,विद्याधर अप्सरस् यक्ष रक्षस् गन्धर्व किन्नर पिशाच गुह्यक सिद्ध भूत
गुह्यक,देवयोनिः,विद्याधर अप्सरस् यक्ष रक्षस् गन्धर्व किन्नर पिशाच गुह्यक सिद्ध भूत
सिद्ध,देवयोनिः,विद्याधर अप्सरस् यक्ष रक्षस् गन्धर्व किन्नर पिशाच गुह्यक सिद्ध भूत
भूत,देवयोनिः,विद्याधर अप्सरस् यक्ष रक्षस् गन्धर्व किन्नर पिशाच गुह्यक सिद्ध भूत
असुर,असुरः,असुर दैत्य दैतेय दनुज इन्द्रारि दानव शुक्रशिष्य दितिसुत पूर्वदेव सुरद्विष्
दैत्य,असुरः,असुर दैत्य दैतेय दनुज इन्द्रारि दानव शुक्रशिष्य दितिसुत पूर्वदेव सुरद्विष्
दैतेय,असुरः,असुर दैत्य दैतेय दनुज इन्द्रारि दानव शुक्रशिष्य दितिसुत पूर्वदेव सुरद्विष्
दनुज,असुरः,असुर दैत्य दैतेय दनुज इन्द्रारि दानव शुक्रशिष्य दितिसुत पूर्वदेव सुरद्विष्
इन्द्रारि,असुरः,असुर दैत्य दैतेय दनुज इन्द्रारि दानव शुक्रशिष्य दितिसुत पूर्वदेव सुरद्विष्
दानव,असुरः,असुर दैत्य दैतेय दनुज इन्द्रारि दानव शुक्रशिष्य दितिसुत पूर्वदेव सुरद्विष्
शुक्रशिष्य,असुरः,असुर दैत्य दैतेय दनुज इन्द्रारि दानव शुक्रशिष्य दितिसुत पूर्वदेव सुरद्विष्
दितिसुत,असुरः,असुर दैत्य दैतेय दनुज इन्द्रारि दानव शुक्रशिष्य दितिसुत पूर्वदेव सुरद्विष्
पूर्वदेव,असुरः,असुर दैत्य दैतेय दनुज इन्द्रारि दानव शुक्रशिष्य दितिसुत पूर्वदेव सुरद्विष्
सुरद्विष्,असुरः,असुर दैत्य दैतेय दनुज इन्द्रारि दानव शुक्रशिष्य दितिसुत पूर्वदेव सुरद्विष्
सर्वज्ञ,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
सुगत,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
बुद्ध,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
धर्मराज,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
तथागत,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
समन्तभद्र,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
भगवत्,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
मारजित्,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
लोकजित्,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
जिन,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
षडभिज्ञ,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
दशबल,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
अद्वयवादिन्,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
विनायक,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
मुनीन्द्र,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
श्रीघन,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
शास्तृ,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
मुनि,बुद्धः,सर्वज्ञ सुगत बुद्ध धर्मराज तथागत समन्तभद्र भगवत् मारजित् लोकजित् जिन षडभिज्ञ दशबल अद्वयवादिन् विनायक मुनीन्द्र श्रीघन शास्तृ मुनि
शाक्यमुनि,शाक्यः,शाक्यमुनि शाक्यसिंह सर्वार्थसिद्ध शौद्धोदनि गौतम अर्कबन्धु मायादेवीसुत
शाक्यसिंह,शाक्यः,शाक्यमुनि शाक्यसिंह सर्वार्थसिद्ध शौद्धोदनि गौतम अर्कबन्धु मायादेवीसुत
सर्वार्थसिद्ध,शाक्यः,शाक्यमुनि शाक्यसिंह सर्वार्थसिद्ध शौद्धोदनि गौतम अर्कबन्धु मायादेवीसुत
शौद्धोदनि,शाक्यः,शाक्यमुनि शाक्यसिंह सर्वार्थसिद्ध शौद्धोदनि गौतम अर्कबन्धु मायादेवीसुत
गौतम,शाक्यः,शाक्यमुनि शाक्यसिंह सर्वार्थसिद्ध शौद्धोदनि गौतम अर्कबन्धु मायादेवीसुत
अर्कबन्धु,शाक्यः,शाक्यमुनि शाक्यसिंह सर्वार्थसिद्ध शौद्धोदनि गौतम अर्कबन्धु मायादेवीसुत
मायादेवीसुत,शाक्यः,शाक्यमुनि शाक्यसिंह सर्वार्थसिद्ध शौद्धोदनि गौतम अर्कबन्धु मायादेवीसुत
ब्रह्मन्,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
आत्मभू,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
सुरज्येष्ठ,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
परमेष्ठिन्,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
पितामह,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
हिरण्यगर्भ,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
लोकेश,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
स्वयम्भू,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
चतुरानन,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
धातृ,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
अब्जयोनि,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
द्रुहिण,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
विरिञ्चि,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
कमलासन,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
स्रष्टृ,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
प्रजापति,ब्रह्मा,ब्रह्मन् आत्मभू सुरज्येष्ठ परमेष्ठिन् पितामह हिरण्यगर्भ लोकेश स्वयम्भू चतुरानन धातृ अब्जयोनि द्रुहिण विरिञ्चि कमलासन स्रष्टृ प्रजापति वेधस् विधातृ विश्वसृज् विधि नाभिजन्मन् अण्डज पूर्व निधन कमलोद्भव सदानन्द रजोमूर्तिन् सत्यक हंसवाहन क आत्मन् शम्भु
